,COUNTYFP,COUNTYNAME,STATE
0,001,Autauga County,AL
4,003,Baldwin County,AL
12,005,Barbour County,AL
17,007,Bibb County,AL
20,009,Blount County,AL
27,011,Bullock County,AL
31,013,Butler County,AL
35,015,Calhoun County,AL
41,017,Chambers County,AL
47,019,Cherokee County,AL
51,021,Chilton County,AL
57,023,Choctaw County,AL
61,025,Clarke County,AL
67,027,Clay County,AL
70,029,Cleburne County,AL
73,031,Coffee County,AL
79,033,Colbert County,AL
83,035,Conecuh County,AL
88,037,Coosa County,AL
91,039,Covington County,AL
96,041,Crenshaw County,AL
99,043,Cullman County,AL
110,045,Dale County,AL
115,047,Dallas County,AL
121,049,DeKalb County,AL
130,051,Elmore County,AL
136,053,Escambia County,AL
141,055,Etowah County,AL
148,057,Fayette County,AL
152,059,Franklin County,AL
156,061,Geneva County,AL
161,063,Greene County,AL
165,065,Hale County,AL
172,067,Henry County,AL
176,069,Houston County,AL
181,071,Jackson County,AL
189,073,Jefferson County,AL
206,075,Lamar County,AL
209,077,Lauderdale County,AL
216,079,Lawrence County,AL
223,081,Lee County,AL
228,083,Limestone County,AL
231,085,Lowndes County,AL
236,087,Macon County,AL
242,089,Madison County,AL
251,091,Marengo County,AL
257,093,Marion County,AL
264,095,Marshall County,AL
271,097,Mobile County,AL
279,099,Monroe County,AL
285,101,Montgomery County,AL
291,103,Morgan County,AL
298,105,Perry County,AL
303,107,Pickens County,AL
308,109,Pike County,AL
314,111,Randolph County,AL
319,113,Russell County,AL
323,115,St. Clair County,AL
328,117,Shelby County,AL
335,119,Sumter County,AL
341,121,Talladega County,AL
348,123,Tallapoosa County,AL
353,125,Tuscaloosa County,AL
364,127,Walker County,AL
376,129,Washington County,AL
381,131,Wilcox County,AL
386,133,Winston County,AL
390,013,Aleutians East Borough,AK
391,016,Aleutians West Census Area,AK
392,020,Anchorage Municipality,AK
393,050,Bethel Census Area,AK
395,060,Bristol Bay Borough,AK
396,063,Chugach Census Area,AK
397,066,Copper River Census Area,AK
398,068,Denali Borough,AK
399,070,Dillingham Census Area,AK
400,090,Fairbanks North Star Borough,AK
401,100,Haines Borough,AK
402,105,Hoonah-Angoon Census Area,AK
404,110,Juneau City and Borough,AK
405,122,Kenai Peninsula Borough,AK
407,130,Ketchikan Gateway Borough,AK
408,150,Kodiak Island Borough,AK
409,158,Kusilvak Census Area,AK
410,164,Lake and Peninsula Borough,AK
411,170,Matanuska-Susitna Borough,AK
412,180,Nome Census Area,AK
413,185,North Slope Borough,AK
414,188,Northwest Arctic Borough,AK
415,195,Petersburg Borough,AK
416,198,Prince of Wales-Hyder Census Area,AK
419,220,Sitka City and Borough,AK
420,230,Skagway Municipality,AK
421,240,Southeast Fairbanks Census Area,AK
422,275,Wrangell City and Borough,AK
423,282,Yakutat City and Borough,AK
424,290,Yukon-Koyukuk Census Area,AK
427,001,Apache County,AZ
435,003,Cochise County,AZ
442,005,Coconino County,AZ
449,007,Gila County,AZ
455,009,Graham County,AZ
459,011,Greenlee County,AZ
461,012,La Paz County,AZ
462,013,Maricopa County,AZ
471,015,Mohave County,AZ
475,017,Navajo County,AZ
482,019,Pima County,AZ
487,021,Pinal County,AZ
496,023,Santa Cruz County,AZ
498,025,Yavapai County,AZ
504,027,Yuma County,AZ
507,001,Arkansas County,AR
524,003,Ashley County,AR
542,005,Baxter County,AR
558,007,Benton County,AR
571,009,Boone County,AR
591,011,Bradley County,AR
601,013,Calhoun County,AR
610,015,Carroll County,AR
631,017,Chicot County,AR
634,019,Clark County,AR
635,021,Clay County,AR
652,023,Cleburne County,AR
674,025,Cleveland County,AR
689,027,Columbia County,AR
695,029,Conway County,AR
716,031,Craighead County,AR
734,033,Crawford County,AR
759,035,Crittenden County,AR
770,037,Cross County,AR
782,039,Dallas County,AR
796,041,Desha County,AR
807,043,Drew County,AR
819,045,Faulkner County,AR
841,047,Franklin County,AR
870,049,Fulton County,AR
885,051,Garland County,AR
889,053,Grant County,AR
901,055,Greene County,AR
907,057,Hempstead County,AR
919,059,Hot Spring County,AR
939,061,Howard County,AR
961,063,Independence County,AR
985,065,Izard County,AR
1010,067,Jackson County,AR
1024,069,Jefferson County,AR
1044,071,Johnson County,AR
1063,073,Lafayette County,AR
1072,075,Lawrence County,AR
1094,077,Lee County,AR
1106,079,Lincoln County,AR
1118,081,Little River County,AR
1134,083,Logan County,AR
1156,085,Lonoke County,AR
1185,087,Madison County,AR
1195,089,Marion County,AR
1196,091,Miller County,AR
1204,093,Mississippi County,AR
1221,095,Monroe County,AR
1237,097,Montgomery County,AR
1250,099,Nevada County,AR
1263,101,Newton County,AR
1286,103,Ouachita County,AR
1304,105,Perry County,AR
1321,107,Phillips County,AR
1334,109,Pike County,AR
1347,111,Poinsett County,AR
1358,113,Polk County,AR
1368,115,Pope County,AR
1387,117,Prairie County,AR
1401,119,Pulaski County,AR
1403,121,Randolph County,AR
1429,123,St. Francis County,AR
1441,125,Saline County,AR
1462,127,Scott County,AR
1487,129,Searcy County,AR
1502,131,Sebastian County,AR
1507,133,Sevier County,AR
1513,135,Sharp County,AR
1538,137,Stone County,AR
1562,139,Union County,AR
1578,141,Van Buren County,AR
1599,143,Washington County,AR
1637,145,White County,AR
1679,147,Woodruff County,AR
1692,149,Yell County,AR
1717,001,Alameda County,CA
1723,003,Alpine County,CA
1724,005,Amador County,CA
1728,007,Butte County,CA
1736,009,Calaveras County,CA
1739,011,Colusa County,CA
1742,013,Contra Costa County,CA
1748,015,Del Norte County,CA
1751,017,El Dorado County,CA
1755,019,Fresno County,CA
1773,021,Glenn County,CA
1775,023,Humboldt County,CA
1782,025,Imperial County,CA
1791,027,Inyo County,CA
1795,029,Kern County,CA
1807,031,Kings County,CA
1813,033,Lake County,CA
1822,035,Lassen County,CA
1827,037,Los Angeles County,CA
1847,039,Madera County,CA
1853,041,Marin County,CA
1859,043,Mariposa County,CA
1862,045,Mendocino County,CA
1871,047,Merced County,CA
1880,049,Modoc County,CA
1884,051,Mono County,CA
1886,053,Monterey County,CA
1899,055,Napa County,CA
1904,057,Nevada County,CA
1907,059,Orange County,CA
1914,061,Placer County,CA
1921,063,Plumas County,CA
1927,065,Riverside County,CA
1944,067,Sacramento County,CA
1951,069,San Benito County,CA
1954,071,San Bernardino County,CA
1966,073,San Diego County,CA
1979,075,San Francisco County,CA
1987,077,San Joaquin County,CA
1996,079,San Luis Obispo County,CA
2001,081,San Mateo County,CA
2004,083,Santa Barbara County,CA
2011,085,Santa Clara County,CA
2017,087,Santa Cruz County,CA
2022,089,Shasta County,CA
2027,091,Sierra County,CA
2029,093,Siskiyou County,CA
2041,095,Solano County,CA
2046,097,Sonoma County,CA
2053,099,Stanislaus County,CA
2062,101,Sutter County,CA
2068,103,Tehama County,CA
2072,105,Trinity County,CA
2076,107,Tulare County,CA
2091,109,Tuolumne County,CA
2095,111,Ventura County,CA
2107,113,Yolo County,CA
2114,115,Yuba County,CA
2121,001,Adams County,CO
2126,003,Alamosa County,CO
2128,005,Arapahoe County,CO
2131,007,Archuleta County,CO
2133,009,Baca County,CO
2137,011,Bent County,CO
2140,013,Boulder County,CO
2145,014,Broomfield County,CO
2146,015,Chaffee County,CO
2148,017,Cheyenne County,CO
2150,019,Clear Creek County,CO
2152,021,Conejos County,CO
2156,023,Costilla County,CO
2158,025,Crowley County,CO
2160,027,Custer County,CO
2161,029,Delta County,CO
2165,031,Denver County,CO
2166,033,Dolores County,CO
2168,035,Douglas County,CO
2171,037,Eagle County,CO
2174,039,Elbert County,CO
2177,041,El Paso County,CO
2185,043,Fremont County,CO
2189,045,Garfield County,CO
2193,047,Gilpin County,CO
2194,049,Grand County,CO
2196,051,Gunnison County,CO
2200,053,Hinsdale County,CO
2201,055,Huerfano County,CO
2204,057,Jackson County,CO
2205,059,Jefferson County,CO
2209,061,Kiowa County,CO
2212,063,Kit Carson County,CO
2215,065,Lake County,CO
2217,067,La Plata County,CO
2221,069,Larimer County,CO
2227,071,Las Animas County,CO
2233,073,Lincoln County,CO
2237,075,Logan County,CO
2242,077,Mesa County,CO
2249,079,Mineral County,CO
2250,081,Moffat County,CO
2253,083,Montezuma County,CO
2258,085,Montrose County,CO
2261,087,Morgan County,CO
2265,089,Otero County,CO
2271,091,Ouray County,CO
2272,093,Park County,CO
2274,095,Phillips County,CO
2276,097,Pitkin County,CO
2278,099,Prowers County,CO
2282,101,Pueblo County,CO
2289,103,Rio Blanco County,CO
2291,105,Rio Grande County,CO
2294,107,Routt County,CO
2298,109,Saguache County,CO
2301,111,San Juan County,CO
2302,113,San Miguel County,CO
2305,115,Sedgwick County,CO
2307,117,Summit County,CO
2309,119,Teller County,CO
2311,121,Washington County,CO
2315,123,Weld County,CO
2327,125,Yuma County,CO
2330,001,Fairfield County,CT
2354,003,Hartford County,CT
2383,005,Litchfield County,CT
2409,007,Middlesex County,CT
2425,009,New Haven County,CT
2453,011,New London County,CT
2475,013,Tolland County,CT
2488,015,Windham County,CT
2503,001,Kent County,DE
2510,003,New Castle County,DE
2521,005,Sussex County,DE
2530,001,District of Columbia,DC
2531,001,Alachua County,FL
2537,003,Baker County,FL
2539,005,Bay County,FL
2545,007,Bradford County,FL
2549,009,Brevard County,FL
2560,011,Broward County,FL
2570,013,Calhoun County,FL
2573,015,Charlotte County,FL
2576,017,Citrus County,FL
2578,019,Clay County,FL
2583,021,Collier County,FL
2587,023,Columbia County,FL
2590,027,DeSoto County,FL
2592,029,Dixie County,FL
2594,031,Duval County,FL
2599,033,Escambia County,FL
2603,035,Flagler County,FL
2605,037,Franklin County,FL
2608,039,Gadsden County,FL
2612,041,Gilchrist County,FL
2614,043,Glades County,FL
2616,045,Gulf County,FL
2618,047,Hamilton County,FL
2621,049,Hardee County,FL
2624,051,Hendry County,FL
2626,053,Hernando County,FL
2630,055,Highlands County,FL
2633,057,Hillsborough County,FL
2640,059,Holmes County,FL
2643,061,Indian River County,FL
2645,063,Jackson County,FL
2654,065,Jefferson County,FL
2656,067,Lafayette County,FL
2658,069,Lake County,FL
2668,071,Lee County,FL
2678,073,Leon County,FL
2689,075,Levy County,FL
2692,077,Liberty County,FL
2694,079,Madison County,FL
2696,081,Manatee County,FL
2700,083,Marion County,FL
2707,085,Martin County,FL
2710,086,Miami-Dade County,FL
2722,087,Monroe County,FL
2727,089,Nassau County,FL
2730,091,Okaloosa County,FL
2736,093,Okeechobee County,FL
2738,095,Orange County,FL
2744,097,Osceola County,FL
2747,099,Palm Beach County,FL
2758,101,Pasco County,FL
2764,103,Pinellas County,FL
2769,105,Polk County,FL
2775,107,Putnam County,FL
2779,109,St. Johns County,FL
2784,111,St. Lucie County,FL
2788,113,Santa Rosa County,FL
2805,115,Sarasota County,FL
2812,117,Seminole County,FL
2815,119,Sumter County,FL
2817,121,Suwannee County,FL
2821,123,Taylor County,FL
2823,125,Union County,FL
2826,127,Volusia County,FL
2837,129,Wakulla County,FL
2839,131,Walton County,FL
2844,133,Washington County,FL
2847,001,Appling County,GA
2851,003,Atkinson County,GA
2854,005,Bacon County,GA
2856,007,Baker County,GA
2858,009,Baldwin County,GA
2861,011,Banks County,GA
2865,013,Barrow County,GA
2869,015,Bartow County,GA
2875,017,Ben Hill County,GA
2877,019,Berrien County,GA
2881,021,Bibb County,GA
2885,023,Bleckley County,GA
2887,025,Brantley County,GA
2890,027,Brooks County,GA
2896,029,Bryan County,GA
2899,031,Bulloch County,GA
2904,033,Burke County,GA
2911,035,Butts County,GA
2916,037,Calhoun County,GA
2920,039,Camden County,GA
2923,043,Candler County,GA
2926,045,Carroll County,GA
2933,047,Catoosa County,GA
2937,049,Charlton County,GA
2939,051,Chatham County,GA
2944,053,Chattahoochee County,GA
2946,055,Chattooga County,GA
2951,057,Cherokee County,GA
2957,059,Clarke County,GA
2960,061,Clay County,GA
2962,063,Clayton County,GA
2966,065,Clinch County,GA
2968,067,Cobb County,GA
2977,069,Coffee County,GA
2982,071,Colquitt County,GA
2987,073,Columbia County,GA
2990,075,Cook County,GA
2992,077,Coweta County,GA
2996,079,Crawford County,GA
2998,081,Crisp County,GA
3000,083,Dade County,GA
3003,085,Dawson County,GA
3005,087,Decatur County,GA
3011,089,DeKalb County,GA
3016,091,Dodge County,GA
3020,093,Dooly County,GA
3023,095,Dougherty County,GA
3025,097,Douglas County,GA
3029,099,Early County,GA
3032,101,Echols County,GA
3034,103,Effingham County,GA
3037,105,Elbert County,GA
3040,107,Emanuel County,GA
3045,109,Evans County,GA
3047,111,Fannin County,GA
3052,113,Fayette County,GA
3055,115,Floyd County,GA
3059,117,Forsyth County,GA
3063,119,Franklin County,GA
3067,121,Fulton County,GA
3073,123,Gilmer County,GA
3078,125,Glascock County,GA
3080,127,Glynn County,GA
3085,129,Gordon County,GA
3089,131,Grady County,GA
3095,133,Greene County,GA
3101,135,Gwinnett County,GA
3108,137,Habersham County,GA
3111,139,Hall County,GA
3117,141,Hancock County,GA
3121,143,Haralson County,GA
3124,145,Harris County,GA
3128,147,Hart County,GA
3132,149,Heard County,GA
3135,151,Henry County,GA
3139,153,Houston County,GA
3142,155,Irwin County,GA
3145,157,Jackson County,GA
3150,159,Jasper County,GA
3154,161,Jeff Davis County,GA
3156,163,Jefferson County,GA
3160,165,Jenkins County,GA
3162,167,Johnson County,GA
3166,169,Jones County,GA
3168,171,Lamar County,GA
3170,173,Lanier County,GA
3172,175,Laurens County,GA
3180,177,Lee County,GA
3183,179,Liberty County,GA
3186,181,Lincoln County,GA
3188,183,Long County,GA
3190,185,Lowndes County,GA
3195,187,Lumpkin County,GA
3197,189,McDuffie County,GA
3199,191,McIntosh County,GA
3201,193,Macon County,GA
3205,195,Madison County,GA
3210,197,Marion County,GA
3212,199,Meriwether County,GA
3218,201,Miller County,GA
3221,205,Mitchell County,GA
3226,207,Monroe County,GA
3228,209,Montgomery County,GA
3231,211,Morgan County,GA
3236,213,Murray County,GA
3240,215,Muscogee County,GA
3244,217,Newton County,GA
3247,219,Oconee County,GA
3250,221,Oglethorpe County,GA
3253,223,Paulding County,GA
3257,225,Peach County,GA
3259,227,Pickens County,GA
3263,229,Pierce County,GA
3266,231,Pike County,GA
3270,233,Polk County,GA
3273,235,Pulaski County,GA
3276,237,Putnam County,GA
3279,239,Quitman County,GA
3281,241,Rabun County,GA
3284,243,Randolph County,GA
3287,245,Richmond County,GA
3291,247,Rockdale County,GA
3294,249,Schley County,GA
3296,251,Screven County,GA
3301,253,Seminole County,GA
3303,255,Spalding County,GA
3310,257,Stephens County,GA
3313,259,Stewart County,GA
3316,261,Sumter County,GA
3320,263,Talbot County,GA
3323,265,Taliaferro County,GA
3325,267,Tattnall County,GA
3328,269,Taylor County,GA
3332,271,Telfair County,GA
3336,273,Terrell County,GA
3340,275,Thomas County,GA
3346,277,Tift County,GA
3352,279,Toombs County,GA
3354,281,Towns County,GA
3357,283,Treutlen County,GA
3359,285,Troup County,GA
3365,287,Turner County,GA
3367,289,Twiggs County,GA
3369,291,Union County,GA
3372,293,Upson County,GA
3376,295,Walker County,GA
3384,297,Walton County,GA
3390,299,Ware County,GA
3394,301,Warren County,GA
3399,303,Washington County,GA
3405,305,Wayne County,GA
3408,307,Webster County,GA
3410,309,Wheeler County,GA
3412,311,White County,GA
3415,313,Whitfield County,GA
3418,315,Wilcox County,GA
3422,317,Wilkes County,GA
3425,319,Wilkinson County,GA
3429,321,Worth County,GA
3433,001,Hawaii County,HI
3445,003,Honolulu County,HI
3452,005,Kalawao County,HI
3453,007,Kauai County,HI
3463,009,Maui County,HI
3477,001,Ada County,ID
3482,003,Adams County,ID
3484,005,Bannock County,ID
3488,007,Bear Lake County,ID
3491,009,Benewah County,ID
3494,011,Bingham County,ID
3502,013,Blaine County,ID
3505,015,Boise County,ID
3508,017,Bonner County,ID
3512,019,Bonneville County,ID
3516,021,Boundary County,ID
3519,023,Butte County,ID
3521,025,Camas County,ID
3523,027,Canyon County,ID
3531,029,Caribou County,ID
3536,031,Cassia County,ID
3540,033,Clark County,ID
3542,035,Clearwater County,ID
3546,037,Custer County,ID
3549,039,Elmore County,ID
3552,041,Franklin County,ID
3555,043,Fremont County,ID
3560,045,Gem County,ID
3563,047,Gooding County,ID
3567,049,Idaho County,ID
3572,051,Jefferson County,ID
3577,053,Jerome County,ID
3580,055,Kootenai County,ID
3585,057,Latah County,ID
3590,059,Lemhi County,ID
3594,061,Lewis County,ID
3599,063,Lincoln County,ID
3601,065,Madison County,ID
3604,067,Minidoka County,ID
3608,069,Nez Perce County,ID
3611,071,Oneida County,ID
3613,073,Owyhee County,ID
3619,075,Payette County,ID
3622,077,Power County,ID
3626,079,Shoshone County,ID
3631,081,Teton County,ID
3634,083,Twin Falls County,ID
3641,085,Valley County,ID
3644,087,Washington County,ID
3647,001,Adams County,IL
3670,003,Alexander County,IL
3677,005,Bond County,IL
3686,007,Boone County,IL
3695,009,Brown County,IL
3704,011,Bureau County,IL
3729,013,Calhoun County,IL
3737,015,Carroll County,IL
3749,017,Cass County,IL
3760,019,Champaign County,IL
3790,021,Christian County,IL
3807,023,Clark County,IL
3822,025,Clay County,IL
3834,027,Clinton County,IL
3849,029,Coles County,IL
3861,031,Cook County,IL
3893,033,Crawford County,IL
3903,035,Cumberland County,IL
3911,037,DeKalb County,IL
3930,039,De Witt County,IL
3943,041,Douglas County,IL
3952,043,DuPage County,IL
3962,045,Edgar County,IL
3977,047,Edwards County,IL
3989,049,Effingham County,IL
4004,051,Fayette County,IL
4024,053,Ford County,IL
4036,055,Franklin County,IL
4048,057,Fulton County,IL
4074,059,Gallatin County,IL
4084,061,Greene County,IL
4097,063,Grundy County,IL
4114,065,Hamilton County,IL
4126,067,Hancock County,IL
4150,069,Hardin County,IL
4156,071,Henderson County,IL
4167,073,Henry County,IL
4191,075,Iroquois County,IL
4217,077,Jackson County,IL
4233,079,Jasper County,IL
4244,081,Jefferson County,IL
4260,083,Jersey County,IL
4271,085,Jo Daviess County,IL
4294,087,Johnson County,IL
4311,089,Kane County,IL
4327,091,Kankakee County,IL
4344,093,Kendall County,IL
4353,095,Knox County,IL
4374,097,Lake County,IL
4393,099,LaSalle County,IL
4430,101,Lawrence County,IL
4439,103,Lee County,IL
4461,105,Livingston County,IL
4491,107,Logan County,IL
4508,109,McDonough County,IL
4527,111,McHenry County,IL
4544,113,McLean County,IL
4575,115,Macon County,IL
4591,117,Macoupin County,IL
4617,119,Madison County,IL
4641,121,Marion County,IL
4658,123,Marshall County,IL
4670,125,Mason County,IL
4683,127,Massac County,IL
4700,129,Menard County,IL
4716,131,Mercer County,IL
4731,133,Monroe County,IL
4768,135,Montgomery County,IL
4786,137,Morgan County,IL
4826,139,Moultrie County,IL
4834,141,Ogle County,IL
4858,143,Peoria County,IL
4878,145,Perry County,IL
4905,147,Piatt County,IL
4913,149,Pike County,IL
4937,151,Pope County,IL
4943,153,Pulaski County,IL
4954,155,Putnam County,IL
4958,157,Randolph County,IL
4978,159,Richland County,IL
4987,161,Rock Island County,IL
5005,163,St. Clair County,IL
5027,165,Saline County,IL
5040,167,Sangamon County,IL
5066,169,Schuyler County,IL
5079,171,Scott County,IL
5089,173,Shelby County,IL
5113,175,Stark County,IL
5121,177,Stephenson County,IL
5139,179,Tazewell County,IL
5158,181,Union County,IL
5178,183,Vermilion County,IL
5197,185,Wabash County,IL
5205,187,Warren County,IL
5220,189,Washington County,IL
5236,191,Wayne County,IL
5256,193,White County,IL
5266,195,Whiteside County,IL
5288,197,Will County,IL
5312,199,Williamson County,IL
5324,201,Winnebago County,IL
5338,203,Woodford County,IL
5355,001,Adams County,IN
5367,003,Allen County,IN
5387,005,Bartholomew County,IN
5400,007,Benton County,IN
5411,009,Blackford County,IN
5415,011,Boone County,IN
5427,013,Brown County,IN
5431,015,Carroll County,IN
5445,017,Cass County,IN
5459,019,Clark County,IN
5471,021,Clay County,IN
5482,023,Clinton County,IN
5496,025,Crawford County,IN
5505,027,Daviess County,IN
5515,029,Dearborn County,IN
5529,031,Decatur County,IN
5538,033,DeKalb County,IN
5553,035,Delaware County,IN
5566,037,Dubois County,IN
5578,039,Elkhart County,IN
5594,041,Fayette County,IN
5603,043,Floyd County,IN
5608,045,Fountain County,IN
5619,047,Franklin County,IN
5632,049,Fulton County,IN
5640,051,Gibson County,IN
5650,053,Grant County,IN
5663,055,Greene County,IN
5678,057,Hamilton County,IN
5687,059,Hancock County,IN
5696,061,Harrison County,IN
5708,063,Hendricks County,IN
5720,065,Henry County,IN
5733,067,Howard County,IN
5744,069,Huntington County,IN
5756,071,Jackson County,IN
5768,073,Jasper County,IN
5781,075,Jay County,IN
5793,077,Jefferson County,IN
5803,079,Jennings County,IN
5814,081,Johnson County,IN
5823,083,Knox County,IN
5833,085,Kosciusko County,IN
5850,087,LaGrange County,IN
5861,089,Lake County,IN
5873,091,LaPorte County,IN
5894,093,Lawrence County,IN
5903,095,Madison County,IN
5917,097,Marion County,IN
5926,099,Marshall County,IN
5936,101,Martin County,IN
5942,103,Miami County,IN
5956,105,Monroe County,IN
5967,107,Montgomery County,IN
5978,109,Morgan County,IN
5992,111,Newton County,IN
6002,113,Noble County,IN
6015,115,Ohio County,IN
6019,117,Orange County,IN
6029,119,Owen County,IN
6042,121,Parke County,IN
6055,123,Perry County,IN
6062,125,Pike County,IN
6071,127,Porter County,IN
6084,129,Posey County,IN
6094,131,Pulaski County,IN
6106,133,Putnam County,IN
6119,135,Randolph County,IN
6130,137,Ripley County,IN
6141,139,Rush County,IN
6153,141,St. Joseph County,IN
6166,143,Scott County,IN
6171,145,Shelby County,IN
6185,147,Spencer County,IN
6194,149,Starke County,IN
6203,151,Steuben County,IN
6215,153,Sullivan County,IN
6224,155,Switzerland County,IN
6230,157,Tippecanoe County,IN
6243,159,Tipton County,IN
6249,161,Union County,IN
6255,163,Vanderburgh County,IN
6263,165,Vermillion County,IN
6268,167,Vigo County,IN
6280,169,Wabash County,IN
6287,171,Warren County,IN
6299,173,Warrick County,IN
6309,175,Washington County,IN
6322,177,Wayne County,IN
6337,179,Wells County,IN
6346,181,White County,IN
6358,183,Whitley County,IN
6367,001,Adair County,IA
6384,003,Adams County,IA
6396,005,Allamakee County,IA
6414,007,Appanoose County,IA
6432,009,Audubon County,IA
6444,011,Benton County,IA
6467,013,Black Hawk County,IA
6487,015,Boone County,IA
6504,017,Bremer County,IA
6520,019,Buchanan County,IA
6536,021,Buena Vista County,IA
6554,023,Butler County,IA
6570,025,Calhoun County,IA
6587,027,Carroll County,IA
6605,029,Cass County,IA
6621,031,Cedar County,IA
6638,033,Cerro Gordo County,IA
6656,035,Cherokee County,IA
6672,037,Chickasaw County,IA
6684,039,Clarke County,IA
6697,041,Clay County,IA
6714,043,Clayton County,IA
6736,045,Clinton County,IA
6755,047,Crawford County,IA
6775,049,Dallas County,IA
6791,051,Davis County,IA
6807,053,Decatur County,IA
6825,055,Delaware County,IA
6841,057,Des Moines County,IA
6858,059,Dickinson County,IA
6870,061,Dubuque County,IA
6889,063,Emmet County,IA
6901,065,Fayette County,IA
6924,067,Floyd County,IA
6937,069,Franklin County,IA
6955,071,Fremont County,IA
6970,073,Greene County,IA
6986,075,Grundy County,IA
7000,077,Guthrie County,IA
7017,079,Hamilton County,IA
7034,081,Hancock County,IA
7050,083,Hardin County,IA
